bloco,rep,trat,emerg,tempo,censura
3,13,c,13,23,0
3,13,c,14,23,0
3,13,c,15,23,0
3,13,c,16,23,0
3,13,c,17,23,0
3,13,c,18,23,0
3,13,c,19,23,0
3,13,c,20,23,0
3,14,c,8,18,1
3,14,c,1,15,1
3,14,c,2,15,1
3,14,c,3,15,1
3,14,c,4,15,1
3,14,c,5,15,1
3,14,c,6,15,1
3,14,c,7,15,1
3,14,c,8,15,1
3,14,c,9,15,1
3,14,c,10,15,1
3,14,c,11,15,1
3,14,c,12,15,1
3,14,c,13,15,1
3,14,c,14,15,1
3,14,c,15,15,1
3,14,c,16,16,1
3,14,c,17,16,1
3,14,c,18,16,1
3,14,c,19,23,0
3,14,c,20,23,0
3,15,c,1,13,1
3,15,c,2,13,1
3,15,c,3,15,1
3,15,c,4,15,1
3,15,c,5,15,1
3,15,c,6,15,1
3,15,c,7,15,1
3,15,c,8,15,1
3,15,c,9,15,1
3,15,c,10,15,1
3,15,c,11,15,1
3,15,c,12,15,1
3,15,c,13,15,1
3,15,c,14,16,1
3,15,c,15,17,1
3,15,c,16,23,0
3,15,c,17,23,0
3,15,c,18,23,0
3,15,c,19,23,0
3,15,c,20,23,0
